variable,description
b18101a_010,estimate_total_65 years and over_no disability
b18101b_001,estimate_total
b18101b_002,estimate_total_under 18 years
b18101b_003,estimate_total_under 18 years_with a disability
b18101b_004,estimate_total_under 18 years_no disability
b18101b_005,estimate_total_18 to 64 years
b18101b_006,estimate_total_18 to 64 years_with a disability
b18101b_007,estimate_total_18 to 64 years_no disability
b18101b_008,estimate_total_65 years and over
b18101b_009,estimate_total_65 years and over_with a disability
b18101b_010,estimate_total_65 years and over_no disability
b18101c_001,estimate_total
b18101c_002,estimate_total_under 18 years
b18101c_003,estimate_total_under 18 years_with a disability
b18101c_004,estimate_total_under 18 years_no disability
b18101c_005,estimate_total_18 to 64 years
b18101c_006,estimate_total_18 to 64 years_with a disability
b18101c_007,estimate_total_18 to 64 years_no disability
b18101c_008,estimate_total_65 years and over
b18101c_009,estimate_total_65 years and over_with a disability
b18101c_010,estimate_total_65 years and over_no disability
b18101d_001,estimate_total
b18101d_002,estimate_total_under 18 years
b18101d_003,estimate_total_under 18 years_with a disability
b18101d_004,estimate_total_under 18 years_no disability
b18101d_005,estimate_total_18 to 64 years
b18101d_006,estimate_total_18 to 64 years_with a disability
b18101d_007,estimate_total_18 to 64 years_no disability
b18101d_008,estimate_total_65 years and over
b18101d_009,estimate_total_65 years and over_with a disability
b18101d_010,estimate_total_65 years and over_no disability
b18101e_001,estimate_total
b18101e_002,estimate_total_under 18 years
b18101e_003,estimate_total_under 18 years_with a disability
b18101e_004,estimate_total_under 18 years_no disability
b18101e_005,estimate_total_18 to 64 years
b18101e_006,estimate_total_18 to 64 years_with a disability
b18101e_007,estimate_total_18 to 64 years_no disability
b18101e_008,estimate_total_65 years and over
b18101e_009,estimate_total_65 years and over_with a disability
b18101e_010,estimate_total_65 years and over_no disability
b18101f_001,estimate_total
b18101f_002,estimate_total_under 18 years
b18101f_003,estimate_total_under 18 years_with a disability
b18101f_004,estimate_total_under 18 years_no disability
b18101f_005,estimate_total_18 to 64 years
b18101f_006,estimate_total_18 to 64 years_with a disability
b18101f_007,estimate_total_18 to 64 years_no disability
b18101f_008,estimate_total_65 years and over
b18101f_009,estimate_total_65 years and over_with a disability
b18101f_010,estimate_total_65 years and over_no disability
b18101g_001,estimate_total
b18101g_002,estimate_total_under 18 years
b18101g_003,estimate_total_under 18 years_with a disability
b18101g_004,estimate_total_under 18 years_no disability
b18101g_005,estimate_total_18 to 64 years
b18101g_006,estimate_total_18 to 64 years_with a disability
b18101g_007,estimate_total_18 to 64 years_no disability
b18101g_008,estimate_total_65 years and over
b18101g_009,estimate_total_65 years and over_with a disability
b18101g_010,estimate_total_65 years and over_no disability
b18101h_001,estimate_total
b18101h_002,estimate_total_under 18 years
b18101h_003,estimate_total_under 18 years_with a disability
b18101h_004,estimate_total_under 18 years_no disability
b18101h_005,estimate_total_18 to 64 years
b18101h_006,estimate_total_18 to 64 years_with a disability
b18101h_007,estimate_total_18 to 64 years_no disability
b18101h_008,estimate_total_65 years and over
b18101h_009,estimate_total_65 years and over_with a disability
b18101h_010,estimate_total_65 years and over_no disability
b18101i_001,estimate_total
b18101i_002,estimate_total_under 18 years
b18101i_003,estimate_total_under 18 years_with a disability
b18101i_004,estimate_total_under 18 years_no disability
b18101i_005,estimate_total_18 to 64 years
b18101i_006,estimate_total_18 to 64 years_with a disability
b18101i_007,estimate_total_18 to 64 years_no disability
b18101i_008,estimate_total_65 years and over
b18101i_009,estimate_total_65 years and over_with a disability
b18101i_010,estimate_total_65 years and over_no disability
b18101_001,estimate_total
b18101_002,estimate_total_male
b18101_003,estimate_total_male_under 5 years
b18101_004,estimate_total_male_under 5 years_with a disability
b18101_005,estimate_total_male_under 5 years_no disability
b18101_006,estimate_total_male_5 to 17 years
b18101_007,estimate_total_male_5 to 17 years_with a disability
b18101_008,estimate_total_male_5 to 17 years_no disability
b18101_009,estimate_total_male_18 to 34 years
b18101_010,estimate_total_male_18 to 34 years_with a disability
b18101_011,estimate_total_male_18 to 34 years_no disability
b18101_012,estimate_total_male_35 to 64 years
b18101_013,estimate_total_male_35 to 64 years_with a disability
b18101_014,estimate_total_male_35 to 64 years_no disability
b18101_015,estimate_total_male_65 to 74 years
b18101_016,estimate_total_male_65 to 74 years_with a disability
b18101_017,estimate_total_male_65 to 74 years_no disability
b18101_018,estimate_total_male_75 years and over
b18101_019,estimate_total_male_75 years and over_with a disability
b18101_020,estimate_total_male_75 years and over_no disability
b18101_021,estimate_total_female
b18101_022,estimate_total_female_under 5 years
b18101_023,estimate_total_female_under 5 years_with a disability
b18101_024,estimate_total_female_under 5 years_no disability
b18101_025,estimate_total_female_5 to 17 years
b18101_026,estimate_total_female_5 to 17 years_with a disability
b18101_027,estimate_total_female_5 to 17 years_no disability
b18101_028,estimate_total_female_18 to 34 years
b18101_029,estimate_total_female_18 to 34 years_with a disability
b18101_030,estimate_total_female_18 to 34 years_no disability
b18101_031,estimate_total_female_35 to 64 years
b18101_032,estimate_total_female_35 to 64 years_with a disability
b18101_033,estimate_total_female_35 to 64 years_no disability
b18101_034,estimate_total_female_65 to 74 years
b18101_035,estimate_total_female_65 to 74 years_with a disability
b18101_036,estimate_total_female_65 to 74 years_no disability
b18101_037,estimate_total_female_75 years and over
b18101_038,estimate_total_female_75 years and over_with a disability
b18101_039,estimate_total_female_75 years and over_no disability
b19001a_001,estimate_total
b19001a_002,"estimate_total_less than $10,000"
b19001a_003,"estimate_total_$10,000 to $14,999"
b19001a_004,"estimate_total_$15,000 to $19,999"
b19001a_005,"estimate_total_$20,000 to $24,999"
b19001a_006,"estimate_total_$25,000 to $29,999"
b19001a_007,"estimate_total_$30,000 to $34,999"
b19001a_008,"estimate_total_$35,000 to $39,999"
b19001a_009,"estimate_total_$40,000 to $44,999"
b19001a_010,"estimate_total_$45,000 to $49,999"
b19001a_011,"estimate_total_$50,000 to $59,999"
b19001a_012,"estimate_total_$60,000 to $74,999"
b19001a_013,"estimate_total_$75,000 to $99,999"
b19001a_014,"estimate_total_$100,000 to $124,999"
b19001a_015,"estimate_total_$125,000 to $149,999"
b19001a_016,"estimate_total_$150,000 to $199,999"
b19001a_017,"estimate_total_$200,000 or more"
b19001b_001,estimate_total
b19001b_002,"estimate_total_less than $10,000"
b19001b_003,"estimate_total_$10,000 to $14,999"
b19001b_004,"estimate_total_$15,000 to $19,999"
b19001b_005,"estimate_total_$20,000 to $24,999"
b19001b_006,"estimate_total_$25,000 to $29,999"
b19001b_007,"estimate_total_$30,000 to $34,999"
b19001b_008,"estimate_total_$35,000 to $39,999"
b19001b_009,"estimate_total_$40,000 to $44,999"
b19001b_010,"estimate_total_$45,000 to $49,999"
b19001b_011,"estimate_total_$50,000 to $59,999"
b19001b_012,"estimate_total_$60,000 to $74,999"
b19001b_013,"estimate_total_$75,000 to $99,999"
b19001b_014,"estimate_total_$100,000 to $124,999"
b19001b_015,"estimate_total_$125,000 to $149,999"
b19001b_016,"estimate_total_$150,000 to $199,999"
b19001b_017,"estimate_total_$200,000 or more"
b19001c_001,estimate_total
b19001c_002,"estimate_total_less than $10,000"
b19001c_003,"estimate_total_$10,000 to $14,999"
b19001c_004,"estimate_total_$15,000 to $19,999"
b19001c_005,"estimate_total_$20,000 to $24,999"
b19001c_006,"estimate_total_$25,000 to $29,999"
b19001c_007,"estimate_total_$30,000 to $34,999"
b19001c_008,"estimate_total_$35,000 to $39,999"
b19001c_009,"estimate_total_$40,000 to $44,999"
b19001c_010,"estimate_total_$45,000 to $49,999"
b19001c_011,"estimate_total_$50,000 to $59,999"
b19001c_012,"estimate_total_$60,000 to $74,999"
b19001c_013,"estimate_total_$75,000 to $99,999"
b19001c_014,"estimate_total_$100,000 to $124,999"
b19001c_015,"estimate_total_$125,000 to $149,999"
b19001c_016,"estimate_total_$150,000 to $199,999"
b19001c_017,"estimate_total_$200,000 or more"
b19001d_001,estimate_total
b19001d_002,"estimate_total_less than $10,000"
b19001d_003,"estimate_total_$10,000 to $14,999"
b19001d_004,"estimate_total_$15,000 to $19,999"
b19001d_005,"estimate_total_$20,000 to $24,999"
b19001d_006,"estimate_total_$25,000 to $29,999"
b19001d_007,"estimate_total_$30,000 to $34,999"
b19001d_008,"estimate_total_$35,000 to $39,999"
b19001d_009,"estimate_total_$40,000 to $44,999"
b19001d_010,"estimate_total_$45,000 to $49,999"
b19001d_011,"estimate_total_$50,000 to $59,999"
b19001d_012,"estimate_total_$60,000 to $74,999"
b19001d_013,"estimate_total_$75,000 to $99,999"
b19001d_014,"estimate_total_$100,000 to $124,999"
b19001d_015,"estimate_total_$125,000 to $149,999"
b19001d_016,"estimate_total_$150,000 to $199,999"
b19001d_017,"estimate_total_$200,000 or more"
b19001e_001,estimate_total
b19001e_002,"estimate_total_less than $10,000"
b19001e_003,"estimate_total_$10,000 to $14,999"
b19001e_004,"estimate_total_$15,000 to $19,999"
b19001e_005,"estimate_total_$20,000 to $24,999"
b19001e_006,"estimate_total_$25,000 to $29,999"
b19001e_007,"estimate_total_$30,000 to $34,999"
b19001e_008,"estimate_total_$35,000 to $39,999"
b19001e_009,"estimate_total_$40,000 to $44,999"
b19001e_010,"estimate_total_$45,000 to $49,999"
b19001e_011,"estimate_total_$50,000 to $59,999"
b19001e_012,"estimate_total_$60,000 to $74,999"
b19001e_013,"estimate_total_$75,000 to $99,999"
b19001e_014,"estimate_total_$100,000 to $124,999"
b19001e_015,"estimate_total_$125,000 to $149,999"
b19001e_016,"estimate_total_$150,000 to $199,999"
b19001e_017,"estimate_total_$200,000 or more"
b19001f_001,estimate_total
b19001f_002,"estimate_total_less than $10,000"
b19001f_003,"estimate_total_$10,000 to $14,999"
b19001f_004,"estimate_total_$15,000 to $19,999"
b19001f_005,"estimate_total_$20,000 to $24,999"
b19001f_006,"estimate_total_$25,000 to $29,999"
b19001f_007,"estimate_total_$30,000 to $34,999"
b19001f_008,"estimate_total_$35,000 to $39,999"
b19001f_009,"estimate_total_$40,000 to $44,999"
b19001f_010,"estimate_total_$45,000 to $49,999"
b19001f_011,"estimate_total_$50,000 to $59,999"
b19001f_012,"estimate_total_$60,000 to $74,999"
b19001f_013,"estimate_total_$75,000 to $99,999"
b19001f_014,"estimate_total_$100,000 to $124,999"
b19001f_015,"estimate_total_$125,000 to $149,999"
b19001f_016,"estimate_total_$150,000 to $199,999"
b19001f_017,"estimate_total_$200,000 or more"
b19001g_001,estimate_total
b19001g_002,"estimate_total_less than $10,000"
b19001g_003,"estimate_total_$10,000 to $14,999"
b19001g_004,"estimate_total_$15,000 to $19,999"
b19001g_005,"estimate_total_$20,000 to $24,999"
b19001g_006,"estimate_total_$25,000 to $29,999"
b19001g_007,"estimate_total_$30,000 to $34,999"
b19001g_008,"estimate_total_$35,000 to $39,999"
b19001g_009,"estimate_total_$40,000 to $44,999"
b19001g_010,"estimate_total_$45,000 to $49,999"
b19001g_011,"estimate_total_$50,000 to $59,999"
b19001g_012,"estimate_total_$60,000 to $74,999"
b19001g_013,"estimate_total_$75,000 to $99,999"
b19001g_014,"estimate_total_$100,000 to $124,999"
b19001g_015,"estimate_total_$125,000 to $149,999"
b19001g_016,"estimate_total_$150,000 to $199,999"
b19001g_017,"estimate_total_$200,000 or more"
b19001h_001,estimate_total
b19001h_002,"estimate_total_less than $10,000"
b19001h_003,"estimate_total_$10,000 to $14,999"
b19001h_004,"estimate_total_$15,000 to $19,999"
b19001h_005,"estimate_total_$20,000 to $24,999"
b19001h_006,"estimate_total_$25,000 to $29,999"
b19001h_007,"estimate_total_$30,000 to $34,999"
b19001h_008,"estimate_total_$35,000 to $39,999"
b19001h_009,"estimate_total_$40,000 to $44,999"
b19001h_010,"estimate_total_$45,000 to $49,999"
b19001h_011,"estimate_total_$50,000 to $59,999"
b19001h_012,"estimate_total_$60,000 to $74,999"
b19001h_013,"estimate_total_$75,000 to $99,999"
b19001h_014,"estimate_total_$100,000 to $124,999"
b19001h_015,"estimate_total_$125,000 to $149,999"
b19001h_016,"estimate_total_$150,000 to $199,999"
b19001h_017,"estimate_total_$200,000 or more"
b19001i_001,estimate_total
b19001i_002,"estimate_total_less than $10,000"
b19001i_003,"estimate_total_$10,000 to $14,999"
b19001i_004,"estimate_total_$15,000 to $19,999"
b19001i_005,"estimate_total_$20,000 to $24,999"
b19001i_006,"estimate_total_$25,000 to $29,999"
b19001i_007,"estimate_total_$30,000 to $34,999"
b19001i_008,"estimate_total_$35,000 to $39,999"
b19001i_009,"estimate_total_$40,000 to $44,999"
b19001i_010,"estimate_total_$45,000 to $49,999"
b19001i_011,"estimate_total_$50,000 to $59,999"
b19001i_012,"estimate_total_$60,000 to $74,999"
b19001i_013,"estimate_total_$75,000 to $99,999"
b19001i_014,"estimate_total_$100,000 to $124,999"
b19001i_015,"estimate_total_$125,000 to $149,999"
b19001i_016,"estimate_total_$150,000 to $199,999"
b19001i_017,"estimate_total_$200,000 or more"
b19001_001,estimate_total
b19001_002,"estimate_total_less than $10,000"
b19001_003,"estimate_total_$10,000 to $14,999"
b19001_004,"estimate_total_$15,000 to $19,999"
b19001_005,"estimate_total_$20,000 to $24,999"
b19001_006,"estimate_total_$25,000 to $29,999"
b19001_007,"estimate_total_$30,000 to $34,999"
b19001_008,"estimate_total_$35,000 to $39,999"
b19001_009,"estimate_total_$40,000 to $44,999"
b19001_010,"estimate_total_$45,000 to $49,999"
b19001_011,"estimate_total_$50,000 to $59,999"
b19001_012,"estimate_total_$60,000 to $74,999"
b19001_013,"estimate_total_$75,000 to $99,999"
b19001_014,"estimate_total_$100,000 to $124,999"
b19001_015,"estimate_total_$125,000 to $149,999"
b19001_016,"estimate_total_$150,000 to $199,999"
b19001_017,"estimate_total_$200,000 or more"
b19013a_001,estimate_median household income in the past 12 months (in 2018 inflation-adjusted dollars)
b19013b_001,estimate_median household income in the past 12 months (in 2018 inflation-adjusted dollars)
b19013c_001,estimate_median household income in the past 12 months (in 2018 inflation-adjusted dollars)
b19013d_001,estimate_median household income in the past 12 months (in 2018 inflation-adjusted dollars)
b19013e_001,estimate_median household income in the past 12 months (in 2018 inflation-adjusted dollars)
b19013f_001,estimate_median household income in the past 12 months (in 2018 inflation-adjusted dollars)
b19013g_001,estimate_median household income in the past 12 months (in 2018 inflation-adjusted dollars)
b19013h_001,estimate_median household income in the past 12 months (in 2018 inflation-adjusted dollars)
b19013i_001,estimate_median household income in the past 12 months (in 2018 inflation-adjusted dollars)
b19013_001,estimate_median household income in the past 12 months (in 2018 inflation-adjusted dollars)
b23025_001,estimate_total
b23025_002,estimate_total_in labor force
b23025_003,estimate_total_in labor force_civilian labor force
b23025_004,estimate_total_in labor force_civilian labor force_employed
b23025_005,estimate_total_in labor force_civilian labor force_unemployed
b23025_006,estimate_total_in labor force_armed forces
b23025_007,estimate_total_not in labor force
b25010a_001,estimate_average household size --_total:
b25010a_002,estimate_average household size --_total:_owner occupied
b25010a_003,estimate_average household size --_total:_renter occupied
b25010b_001,estimate_average household size --_total:
b25010b_002,estimate_average household size --_total:_owner occupied
b25010b_003,estimate_average household size --_total:_renter occupied
b25010c_001,estimate_average household size --_total:
b25010c_002,estimate_average household size --_total:_owner occupied
b25010c_003,estimate_average household size --_total:_renter occupied
b25010d_001,estimate_average household size --_total:
b25010d_002,estimate_average household size --_total:_owner occupied
b25010d_003,estimate_average household size --_total:_renter occupied
b25010e_001,estimate_average household size --_total:
b25010e_002,estimate_average household size --_total:_owner occupied
b25010e_003,estimate_average household size --_total:_renter occupied
b25010f_001,estimate_average household size --_total:
b25010f_002,estimate_average household size --_total:_owner occupied
b25010f_003,estimate_average household size --_total:_renter occupied
b25010g_001,estimate_average household size --_total:
b25010g_002,estimate_average household size --_total:_owner occupied
b25010g_003,estimate_average household size --_total:_renter occupied
b25010h_001,estimate_average household size --_total:
b25010h_002,estimate_average household size --_total:_owner occupied
b25010h_003,estimate_average household size --_total:_renter occupied
b25010i_001,estimate_average household size --_total:
b25010i_002,estimate_average household size --_total:_owner occupied
b25010i_003,estimate_average household size --_total:_renter occupied
b25010_001,estimate_total
b25010_002,estimate_total_owner occupied
b25010_003,estimate_total_renter occupied
b25044_001,estimate_total
b25044_002,estimate_total_owner occupied
b25044_003,estimate_total_owner occupied_no vehicle available
b25044_004,estimate_total_owner occupied_1 vehicle available
b25044_005,estimate_total_owner occupied_2 vehicles available
b25044_006,estimate_total_owner occupied_3 vehicles available
b25044_007,estimate_total_owner occupied_4 vehicles available
b25044_008,estimate_total_owner occupied_5 or more vehicles available
b25044_009,estimate_total_renter occupied
b25044_010,estimate_total_renter occupied_no vehicle available
b25044_011,estimate_total_renter occupied_1 vehicle available
b25044_012,estimate_total_renter occupied_2 vehicles available
b25044_013,estimate_total_renter occupied_3 vehicles available
b25044_014,estimate_total_renter occupied_4 vehicles available
b25044_015,estimate_total_renter occupied_5 or more vehicles available
b25064_001,estimate_median gross rent
c24010a_001,estimate_total
c24010a_002,estimate_total_male
c24010a_003,"estimate_total_male_management, business, science, and arts occupations"
c24010a_004,estimate_total_male_service occupations
c24010a_005,estimate_total_male_sales and office occupations
c24010a_006,"estimate_total_male_natural resources, construction, and maintenance occupations"
c24010a_007,"estimate_total_male_production, transportation, and material moving occupations"
c24010a_008,estimate_total_female
c24010a_009,"estimate_total_female_management, business, science, and arts occupations"
c24010a_010,estimate_total_female_service occupations
c24010a_011,estimate_total_female_sales and office occupations
c24010a_012,"estimate_total_female_natural resources, construction, and maintenance occupations"
c24010a_013,"estimate_total_female_production, transportation, and material moving occupations"
c24010b_001,estimate_total
c24010b_002,estimate_total_male
c24010b_003,"estimate_total_male_management, business, science, and arts occupations"
c24010b_004,estimate_total_male_service occupations
c24010b_005,estimate_total_male_sales and office occupations
c24010b_006,"estimate_total_male_natural resources, construction, and maintenance occupations"
c24010b_007,"estimate_total_male_production, transportation, and material moving occupations"
c24010b_008,estimate_total_female
c24010b_009,"estimate_total_female_management, business, science, and arts occupations"
c24010b_010,estimate_total_female_service occupations
c24010b_011,estimate_total_female_sales and office occupations
c24010b_012,"estimate_total_female_natural resources, construction, and maintenance occupations"
c24010b_013,"estimate_total_female_production, transportation, and material moving occupations"
c24010c_001,estimate_total
c24010c_002,estimate_total_male
c24010c_003,"estimate_total_male_management, business, science, and arts occupations"
c24010c_004,estimate_total_male_service occupations
c24010c_005,estimate_total_male_sales and office occupations
c24010c_006,"estimate_total_male_natural resources, construction, and maintenance occupations"
c24010c_007,"estimate_total_male_production, transportation, and material moving occupations"
c24010c_008,estimate_total_female
c24010c_009,"estimate_total_female_management, business, science, and arts occupations"
c24010c_010,estimate_total_female_service occupations
c24010c_011,estimate_total_female_sales and office occupations
c24010c_012,"estimate_total_female_natural resources, construction, and maintenance occupations"
c24010c_013,"estimate_total_female_production, transportation, and material moving occupations"
c24010d_001,estimate_total
c24010d_002,estimate_total_male
c24010d_003,"estimate_total_male_management, business, science, and arts occupations"
c24010d_004,estimate_total_male_service occupations
c24010d_005,estimate_total_male_sales and office occupations
c24010d_006,"estimate_total_male_natural resources, construction, and maintenance occupations"
c24010d_007,"estimate_total_male_production, transportation, and material moving occupations"
c24010d_008,estimate_total_female
c24010d_009,"estimate_total_female_management, business, science, and arts occupations"
c24010d_010,estimate_total_female_service occupations
c24010d_011,estimate_total_female_sales and office occupations
c24010d_012,"estimate_total_female_natural resources, construction, and maintenance occupations"
c24010d_013,"estimate_total_female_production, transportation, and material moving occupations"
c24010e_001,estimate_total
c24010e_002,estimate_total_male
c24010e_003,"estimate_total_male_management, business, science, and arts occupations"
c24010e_004,estimate_total_male_service occupations
c24010e_005,estimate_total_male_sales and office occupations
c24010e_006,"estimate_total_male_natural resources, construction, and maintenance occupations"
c24010e_007,"estimate_total_male_production, transportation, and material moving occupations"
c24010e_008,estimate_total_female
c24010e_009,"estimate_total_female_management, business, science, and arts occupations"
c24010e_010,estimate_total_female_service occupations
c24010e_011,estimate_total_female_sales and office occupations
c24010e_012,"estimate_total_female_natural resources, construction, and maintenance occupations"
c24010e_013,"estimate_total_female_production, transportation, and material moving occupations"
c24010f_001,estimate_total
c24010f_002,estimate_total_male
c24010f_003,"estimate_total_male_management, business, science, and arts occupations"
c24010f_004,estimate_total_male_service occupations
c24010f_005,estimate_total_male_sales and office occupations
c24010f_006,"estimate_total_male_natural resources, construction, and maintenance occupations"
c24010f_007,"estimate_total_male_production, transportation, and material moving occupations"
c24010f_008,estimate_total_female
c24010f_009,"estimate_total_female_management, business, science, and arts occupations"
c24010f_010,estimate_total_female_service occupations
c24010f_011,estimate_total_female_sales and office occupations
c24010f_012,"estimate_total_female_natural resources, construction, and maintenance occupations"
c24010f_013,"estimate_total_female_production, transportation, and material moving occupations"
c24010g_001,estimate_total
c24010g_002,estimate_total_male
c24010g_003,"estimate_total_male_management, business, science, and arts occupations"
c24010g_004,estimate_total_male_service occupations
c24010g_005,estimate_total_male_sales and office occupations
c24010g_006,"estimate_total_male_natural resources, construction, and maintenance occupations"
c24010g_007,"estimate_total_male_production, transportation, and material moving occupations"
c24010g_008,estimate_total_female
c24010g_009,"estimate_total_female_management, business, science, and arts occupations"
c24010g_010,estimate_total_female_service occupations
c24010g_011,estimate_total_female_sales and office occupations
c24010g_012,"estimate_total_female_natural resources, construction, and maintenance occupations"
c24010g_013,"estimate_total_female_production, transportation, and material moving occupations"
c24010h_001,estimate_total
c24010h_002,estimate_total_male
c24010h_003,"estimate_total_male_management, business, science, and arts occupations"
c24010h_004,estimate_total_male_service occupations
c24010h_005,estimate_total_male_sales and office occupations
c24010h_006,"estimate_total_male_natural resources, construction, and maintenance occupations"
c24010h_007,"estimate_total_male_production, transportation, and material moving occupations"
c24010h_008,estimate_total_female
c24010h_009,"estimate_total_female_management, business, science, and arts occupations"
c24010h_010,estimate_total_female_service occupations
c24010h_011,estimate_total_female_sales and office occupations
c24010h_012,"estimate_total_female_natural resources, construction, and maintenance occupations"
c24010h_013,"estimate_total_female_production, transportation, and material moving occupations"
c24010i_001,estimate_total
c24010i_002,estimate_total_male
c24010i_003,"estimate_total_male_management, business, science, and arts occupations"
c24010i_004,estimate_total_male_service occupations
c24010i_005,estimate_total_male_sales and office occupations
c24010i_006,"estimate_total_male_natural resources, construction, and maintenance occupations"
c24010i_007,"estimate_total_male_production, transportation, and material moving occupations"
c24010i_008,estimate_total_female
c24010i_009,"estimate_total_female_management, business, science, and arts occupations"
c24010i_010,estimate_total_female_service occupations
c24010i_011,estimate_total_female_sales and office occupations
c24010i_012,"estimate_total_female_natural resources, construction, and maintenance occupations"
c24010i_013,"estimate_total_female_production, transportation, and material moving occupations"
c24010_001,estimate_total
c24010_002,estimate_total_male
c24010_003,"estimate_total_male_management, business, science, and arts occupations"
c24010_004,"estimate_total_male_management, business, science, and arts occupations_management, business, and financial occupations"
c24010_005,"estimate_total_male_management, business, science, and arts occupations_management, business, and financial occupations_management occupations"
c24010_006,"estimate_total_male_management, business, science, and arts occupations_management, business, and financial occupations_business and financial operations occupations"
c24010_007,"estimate_total_male_management, business, science, and arts occupations_computer, engineering, and science occupations"
c24010_008,"estimate_total_male_management, business, science, and arts occupations_computer, engineering, and science occupations_computer and mathematical occupations"
c24010_009,"estimate_total_male_management, business, science, and arts occupations_computer, engineering, and science occupations_architecture and engineering occupations"
c24010_010,"estimate_total_male_management, business, science, and arts occupations_computer, engineering, and science occupations_life, physical, and social science occupations"
c24010_011,"estimate_total_male_management, business, science, and arts occupations_education, legal, community service, arts, and media occupations"
c24010_012,"estimate_total_male_management, business, science, and arts occupations_education, legal, community service, arts, and media occupations_community and social service occupations"
c24010_013,"estimate_total_male_management, business, science, and arts occupations_education, legal, community service, arts, and media occupations_legal occupations"
c24010_014,"estimate_total_male_management, business, science, and arts occupations_education, legal, community service, arts, and media occupations_educational instruction, and library occupations"
c24010_015,"estimate_total_male_management, business, science, and arts occupations_education, legal, community service, arts, and media occupations_arts, design, entertainment, sports, and media occupations"
c24010_016,"estimate_total_male_management, business, science, and arts occupations_healthcare practitioners and technical occupations"
c24010_017,"estimate_total_male_management, business, science, and arts occupations_healthcare practitioners and technical occupations_health diagnosing and treating practitioners and other technical occupations"
c24010_018,"estimate_total_male_management, business, science, and arts occupations_healthcare practitioners and technical occupations_health technologists and technicians"
c24010_019,estimate_total_male_service occupations
c24010_020,estimate_total_male_service occupations_healthcare support occupations
c24010_021,estimate_total_male_service occupations_protective service occupations
c24010_022,"estimate_total_male_service occupations_protective service occupations_firefighting and prevention, and other protective service workers including supervisors"
c24010_023,estimate_total_male_service occupations_protective service occupations_law enforcement workers including supervisors
c24010_024,estimate_total_male_service occupations_food preparation and serving related occupations
c24010_025,estimate_total_male_service occupations_building and grounds cleaning and maintenance occupations
c24010_026,estimate_total_male_service occupations_personal care and service occupations
c24010_027,estimate_total_male_sales and office occupations
c24010_028,estimate_total_male_sales and office occupations_sales and related occupations
c24010_029,estimate_total_male_sales and office occupations_office and administrative support occupations
c24010_030,"estimate_total_male_natural resources, construction, and maintenance occupations"
c24010_031,"estimate_total_male_natural resources, construction, and maintenance occupations_farming, fishing, and forestry occupations"
c24010_032,"estimate_total_male_natural resources, construction, and maintenance occupations_construction and extraction occupations"
c24010_033,"estimate_total_male_natural resources, construction, and maintenance occupations_installation, maintenance, and repair occupations"
c24010_034,"estimate_total_male_production, transportation, and material moving occupations"
c24010_035,"estimate_total_male_production, transportation, and material moving occupations_production occupations"
c24010_036,"estimate_total_male_production, transportation, and material moving occupations_transportation occupations"
c24010_037,"estimate_total_male_production, transportation, and material moving occupations_material moving occupations"
c24010_038,estimate_total_female
c24010_039,"estimate_total_female_management, business, science, and arts occupations"
c24010_040,"estimate_total_female_management, business, science, and arts occupations_management, business, and financial occupations"
c24010_041,"estimate_total_female_management, business, science, and arts occupations_management, business, and financial occupations_management occupations"
c24010_042,"estimate_total_female_management, business, science, and arts occupations_management, business, and financial occupations_business and financial operations occupations"
c24010_043,"estimate_total_female_management, business, science, and arts occupations_computer, engineering, and science occupations"
c24010_044,"estimate_total_female_management, business, science, and arts occupations_computer, engineering, and science occupations_computer and mathematical occupations"
c24010_045,"estimate_total_female_management, business, science, and arts occupations_computer, engineering, and science occupations_architecture and engineering occupations"
c24010_046,"estimate_total_female_management, business, science, and arts occupations_computer, engineering, and science occupations_life, physical, and social science occupations"
c24010_047,"estimate_total_female_management, business, science, and arts occupations_education, legal, community service, arts, and media occupations"
c24010_048,"estimate_total_female_management, business, science, and arts occupations_education, legal, community service, arts, and media occupations_community and social service occupations"
c24010_049,"estimate_total_female_management, business, science, and arts occupations_education, legal, community service, arts, and media occupations_legal occupations"
c24010_050,"estimate_total_female_management, business, science, and arts occupations_education, legal, community service, arts, and media occupations_educational instruction, and library occupations"
c24010_051,"estimate_total_female_management, business, science, and arts occupations_education, legal, community service, arts, and media occupations_arts, design, entertainment, sports, and media occupations"
c24010_052,"estimate_total_female_management, business, science, and arts occupations_healthcare practitioners and technical occupations"
c24010_053,"estimate_total_female_management, business, science, and arts occupations_healthcare practitioners and technical occupations_health diagnosing and treating practitioners and other technical occupations"
c24010_054,"estimate_total_female_management, business, science, and arts occupations_healthcare practitioners and technical occupations_health technologists and technicians"
c24010_055,estimate_total_female_service occupations
c24010_056,estimate_total_female_service occupations_healthcare support occupations
c24010_057,estimate_total_female_service occupations_protective service occupations
c24010_058,"estimate_total_female_service occupations_protective service occupations_firefighting and prevention, and other protective service workers including supervisors"
c24010_059,estimate_total_female_service occupations_protective service occupations_law enforcement workers including supervisors
c24010_060,estimate_total_female_service occupations_food preparation and serving related occupations
c24010_061,estimate_total_female_service occupations_building and grounds cleaning and maintenance occupations
c24010_062,estimate_total_female_service occupations_personal care and service occupations
c24010_063,estimate_total_female_sales and office occupations
c24010_064,estimate_total_female_sales and office occupations_sales and related occupations
c24010_065,estimate_total_female_sales and office occupations_office and administrative support occupations
